p,t,maximizing_S_count,affine_orbit_count,normalized_models_enumerated,additive_energy_p25,additive_energy_p50,additive_energy_p75,additive_energy_p99,energy_distribution_complete,proven,search_method
3,1,3,,0,,,,,false,true,analytic
5,1,10,,0,,,,,false,true,analytic
5,2,10,,0,,,,,false,true,analytic
7,1,35,,0,,,,,false,true,analytic
7,2,21,1,3,19,19,19,19,true,true,sat_certified
7,3,35,,0,,,,,false,true,analytic
11,1,462,,0,,,,,false,true,analytic
11,2,22,1,4,65,65,65,65,true,true,sat_certified
11,3,55,1,10,85,85,85,85,true,true,sat_certified
11,4,55,1,10,85,85,85,85,true,true,sat_certified
11,5,462,,0,,,,,false,true,analytic
13,1,1716,,0,,,,,false,true,analytic
13,2,312,2,60,118,118,118,118,true,true,sat_certified
13,3,260,3,50,130,130,146,146,true,true,sat_certified
13,4,78,1,15,146,146,146,146,true,true,sat_certified
13,5,78,1,15,146,146,146,146,true,true,sat_certified
13,6,1716,,0,,,,,false,true,analytic
17,1,24310,,0,,,,,false,true,analytic
17,2,1088,4,224,272,272,280,288,true,true,sat_certified
17,3,408,2,84,272,272,344,344,true,true,sat_certified
17,4,476,3,98,320,320,344,344,true,true,sat_certified
17,5,136,1,28,344,344,344,344,true,true,sat_certified
17,6,136,1,28,344,344,344,344,true,true,sat_certified
17,7,136,1,28,344,344,344,344,true,true,sat_certified
17,8,24310,,0,,,,,false,true,analytic
19,1,92378,,0,,,,,false,true,analytic
19,2,4313,16,908,385,393,401,417,true,true,sat_certified
19,3,171,1,36,401,401,401,401,true,true,sat_certified
19,4,171,1,36,489,489,489,489,true,true,sat_certified
19,5,171,1,36,489,489,489,489,true,true,sat_certified
19,6,171,1,36,489,489,489,489,true,true,sat_certified
19,7,171,1,36,489,489,489,489,true,true,sat_certified
19,8,171,1,36,489,489,489,489,true,true,sat_certified
19,9,92378,,0,,,,,false,true,analytic
23,1,1352078,,0,,,,,false,true,analytic
23,2,2024,6,440,699,707,731,779,true,true,sat_certified
23,3,506,2,110,731,731,779,779,true,true,sat_certified
23,4,506,2,110,779,779,891,891,true,true,sat_certified
23,5,253,1,55,891,891,891,891,true,true,sat_certified
23,6,253,1,55,891,891,891,891,true,true,sat_certified
23,7,253,1,55,891,891,891,891,true,true,sat_certified
23,8,253,1,55,891,891,891,891,true,true,sat_certified
23,9,253,1,55,891,891,891,891,true,true,sat_certified
23,10,253,1,55,891,891,891,891,true,true,sat_certified
23,11,1352078,,0,,,,,false,true,analytic
29,1,77558760,,0,,,,,false,true,analytic
29,2,45,,,1450,1450,1450,1450,false,false,constructive_bruteforce
29,3,179,,,1438,1442,1506,1506,false,false,constructive_bruteforce
29,4,92,,,1834,1834,1834,1834,false,false,constructive_bruteforce
29,5,105,,,1834,1834,1834,1834,false,false,constructive_bruteforce
29,6,117,,,1834,1834,1834,1834,false,false,constructive_bruteforce
29,7,319,,,1786,1786,1834,1834,false,false,constructive_bruteforce
29,8,96,,,1834,1834,1834,1834,false,false,constructive_bruteforce
29,9,125,,,1834,1834,1834,1834,false,false,constructive_bruteforce
29,10,118,,,1834,1834,1834,1834,false,false,constructive_bruteforce
29,11,61,,,1834,1834,1834,1834,false,false,constructive_bruteforce
29,12,38,,,1834,1834,1834,1834,false,false,constructive_bruteforce
29,13,10,,,1834,1834,1834,1834,false,false,constructive_bruteforce
29,14,77558760,,0,,,,,false,true,analytic
31,1,300540195,,0,,,,,false,true,analytic
31,2,251,,,1735,1743,1791,1903,false,false,constructive_bruteforce
31,3,17,,,1775,1775,1815,2039,false,false,constructive_bruteforce
31,4,111,,,2039,2255,2255,2255,false,false,constructive_bruteforce
31,5,229,,,2203,2203,2255,2255,false,false,constructive_bruteforce
31,6,83,,,2255,2255,2255,2255,false,false,constructive_bruteforce
31,7,81,,,2255,2255,2255,2255,false,false,constructive_bruteforce
31,8,111,,,2255,2255,2255,2255,false,false,constructive_bruteforce
31,9,112,,,2255,2255,2255,2255,false,false,constructive_bruteforce
31,10,96,,,2255,2255,2255,2255,false,false,constructive_bruteforce
31,11,68,,,2255,2255,2255,2255,false,false,constructive_bruteforce
31,12,50,,,2255,2255,2255,2255,false,false,constructive_bruteforce
31,13,31,,,2255,2255,2255,2255,false,false,constructive_bruteforce
31,14,11,,,2255,2255,2255,2255,false,false,constructive_bruteforce
31,15,300540195,,0,,,,,false,true,analytic
37,1,17672631900,,0,,,,,false,true,analytic
37,2,76,,,3190,3190,3230,3230,false,false,constructive_bruteforce
37,3,5,,,3146,3146,3146,3146,false,false,constructive_bruteforce
37,4,38,,,3894,3894,3894,3894,false,false,constructive_bruteforce
37,5,57,,,3894,3894,3894,3894,false,false,constructive_bruteforce
37,6,168,,,3830,3830,3894,3894,false,false,constructive_bruteforce
37,7,66,,,3894,3894,3894,3894,false,false,constructive_bruteforce
37,8,81,,,3894,3894,3894,3894,false,false,constructive_bruteforce
37,9,213,,,3830,3830,3894,3894,false,false,constructive_bruteforce
37,10,69,,,3894,3894,3894,3894,false,false,constructive_bruteforce
37,11,65,,,3894,3894,3894,3894,false,false,constructive_bruteforce
37,12,43,,,3894,3894,3894,3894,false,false,constructive_bruteforce
37,13,25,,,3894,3894,3894,3894,false,false,constructive_bruteforce
37,14,20,,,3894,3894,3894,3894,false,false,constructive_bruteforce
37,15,12,,,3894,3894,3894,3894,false,false,constructive_bruteforce
37,16,9,,,3894,3894,3894,3894,false,false,constructive_bruteforce
37,17,10,,,3894,3894,3894,3894,false,false,constructive_bruteforce
37,18,17672631900,,0,,,,,false,true,analytic
41,1,269128937220,,0,,,,,false,true,analytic
41,2,61,,,4424,4472,4472,4472,false,false,constructive_bruteforce
41,3,16,,,4300,4444,4444,4444,false,false,constructive_bruteforce
41,4,114,,,4656,5268,5268,5340,false,false,constructive_bruteforce
41,5,60,,,5268,5268,5340,5340,false,false,constructive_bruteforce
41,6,42,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,7,38,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,8,24,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,9,71,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,10,193,,,5268,5268,5340,5340,false,false,constructive_bruteforce
41,11,66,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,12,69,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,13,29,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,14,20,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,15,12,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,16,15,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,17,19,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,18,11,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,19,12,,,5340,5340,5340,5340,false,false,constructive_bruteforce
41,20,269128937220,,0,,,,,false,true,analytic
43,1,1052049481860,,0,,,,,false,true,analytic
